datetime,Open,signal
2022-11-11 10:01:03,67.51,
2022-11-11 10:01:06,67.51,
2022-11-11 10:01:09,67.58,
2022-11-11 10:01:12,67.58,
2022-11-11 10:01:15,67.58,
2022-11-11 10:01:18,67.58,
2022-11-11 10:01:21,67.55,
2022-11-11 10:01:24,67.55,
2022-11-11 10:01:27,67.55,
2022-11-11 10:01:30,67.55,
2022-11-11 10:01:33,67.55,
2022-11-11 10:01:36,67.55,
2022-11-11 10:01:39,67.55,
2022-11-11 10:01:42,67.55,
2022-11-11 10:01:45,67.55,
2022-11-11 10:01:48,67.53,
2022-11-11 10:01:51,67.55,
2022-11-11 10:01:54,67.55,
2022-11-11 10:01:57,67.53,
2022-11-11 10:02:00,67.53,
2022-11-11 10:02:03,67.53,
2022-11-11 10:02:06,67.51,
2022-11-11 10:02:09,67.4,
2022-11-11 10:02:12,67.37,
2022-11-11 10:02:15,67.37,
2022-11-11 10:02:18,67.35,
2022-11-11 10:02:21,67.3,1.0
2022-11-11 10:02:24,67.3,1.0
2022-11-11 10:02:27,67.23,1.0
2022-11-11 10:02:30,67.44,1.0
2022-11-11 10:02:33,67.44,1.0
2022-11-11 10:02:36,67.24,1.0
2022-11-11 10:02:39,67.33,1.0
2022-11-11 10:02:42,67.33,1.0
2022-11-11 10:02:45,67.25,1.0
2022-11-11 10:02:48,67.24,1.0
2022-11-11 10:02:51,67.23,1.0
2022-11-11 10:02:54,67.24,1.0
2022-11-11 10:02:57,67.24,1.0
2022-11-11 10:03:00,67.24,1.0
2022-11-11 10:03:03,67.23,1.0
2022-11-11 10:03:06,67.23,1.0
2022-11-11 10:03:09,67.21,1.0
2022-11-11 10:03:12,67.21,1.0
2022-11-11 10:03:15,67.21,1.0
2022-11-11 10:03:18,67.18,1.0
2022-11-11 10:03:21,67.18,1.0
2022-11-11 10:03:24,67.1,1.0
2022-11-11 10:03:27,67.07,1.0
2022-11-11 10:03:30,67.05,1.0
2022-11-11 10:03:33,67.18,1.0
2022-11-11 10:03:36,67.18,1.0
2022-11-11 10:03:39,67.07,1.0
2022-11-11 10:03:42,67.07,1.0
2022-11-11 10:03:45,67.07,1.0
2022-11-11 10:03:48,67.07,1.0
2022-11-11 10:03:51,67.08,1.0
2022-11-11 10:03:54,67.08,1.0
2022-11-11 10:03:57,67.08,1.0
2022-11-11 10:04:00,67.05,1.0
2022-11-11 10:04:03,67.08,1.0
2022-11-11 10:04:06,67.05,1.0
2022-11-11 10:04:09,67.03,1.0
2022-11-11 10:04:12,67.03,1.0
2022-11-11 10:04:15,67.03,1.0
2022-11-11 10:04:18,67.03,1.0
2022-11-11 10:04:21,67.02,1.0
2022-11-11 10:04:24,67.0,1.0
2022-11-11 10:04:27,67.0,1.0
2022-11-11 10:04:30,66.99,1.0
2022-11-11 10:04:33,67.0,1.0
2022-11-11 10:04:36,66.98,1.0
2022-11-11 10:04:39,66.95,1.0
2022-11-11 10:04:42,66.95,1.0
2022-11-11 10:04:45,66.95,1.0
2022-11-11 10:04:48,66.98,1.0
2022-11-11 10:04:51,66.95,1.0
2022-11-11 10:04:54,66.9,1.0
2022-11-11 10:04:57,66.95,1.0
2022-11-11 10:05:00,67.03,1.0
2022-11-11 10:05:03,67.03,1.0
2022-11-11 10:05:06,67.07,1.0
2022-11-11 10:05:09,67.07,-1.0
2022-11-11 10:05:12,67.07,-1.0
2022-11-11 10:05:15,67.07,-1.0
2022-11-11 10:05:18,67.07,-1.0
2022-11-11 10:05:21,67.07,-1.0
2022-11-11 10:05:24,67.07,-1.0
2022-11-11 10:05:27,66.9,1.0
2022-11-11 10:05:30,67.08,1.0
2022-11-11 10:05:33,67.08,1.0
2022-11-11 10:05:36,67.08,1.0
2022-11-11 10:05:39,67.07,1.0
2022-11-11 10:05:42,67.07,1.0
2022-11-11 10:05:45,67.01,1.0
2022-11-11 10:05:48,67.01,1.0
2022-11-11 10:05:51,67.07,1.0
2022-11-11 10:05:54,67.1,1.0
2022-11-11 10:05:57,67.1,1.0
2022-11-11 10:06:00,67.05,1.0
2022-11-11 10:06:03,67.2,-1.0
2022-11-11 10:06:06,67.14,-1.0
2022-11-11 10:06:09,67.12,-1.0
2022-11-11 10:06:12,67.12,-1.0
2022-11-11 10:06:15,67.12,-1.0
2022-11-11 10:06:18,67.14,-1.0
2022-11-11 10:06:21,67.14,-1.0
2022-11-11 10:06:24,67.23,-1.0
2022-11-11 10:06:27,67.44,-1.0
2022-11-11 10:06:30,67.23,1.0
2022-11-11 10:06:33,67.23,1.0
2022-11-11 10:06:36,67.23,1.0
2022-11-11 10:06:39,67.23,1.0
2022-11-11 10:06:42,67.23,1.0
2022-11-11 10:06:45,67.22,1.0
2022-11-11 10:06:48,67.19,1.0
2022-11-11 10:06:51,67.22,1.0
2022-11-11 10:06:54,67.22,1.0
2022-11-11 10:06:57,67.19,1.0
2022-11-11 10:07:00,67.18,1.0
2022-11-11 10:07:03,67.18,1.0
2022-11-11 10:07:06,67.18,1.0
2022-11-11 10:07:09,67.16,1.0
2022-11-11 10:07:12,67.16,1.0
2022-11-11 10:07:15,67.16,1.0
2022-11-11 10:07:18,67.14,1.0
2022-11-11 10:07:21,67.1,1.0
2022-11-11 10:07:24,67.1,1.0
2022-11-11 10:07:27,67.1,1.0
2022-11-11 10:07:30,67.08,1.0
2022-11-11 10:07:33,67.08,1.0
2022-11-11 10:07:36,67.1,1.0
2022-11-11 10:07:39,67.11,1.0
2022-11-11 10:07:42,67.11,1.0
2022-11-11 10:07:45,67.16,1.0
2022-11-11 10:07:48,67.1,1.0
2022-11-11 10:07:51,67.1,1.0
2022-11-11 10:07:54,67.1,1.0
2022-11-11 10:07:57,67.1,1.0
